Date,month,Adj Close
2007,1,0.463308
2007,2,0.466438
2007,3,0.438266
2007,4,0.497741
2007,5,0.522789
2007,6,0.569743
2007,7,0.59792
2007,8,0.557222
2007,9,0.585394
2007,10,0.522789
2007,11,0.500872
2007,12,0.53844
2008,1,0.444526
2008,2,0.457047
2008,3,0.381916
2008,4,0.438266
2008,5,0.410088
2008,6,0.319305
2008,7,0.375655
2008,8,0.397567
2008,9,0.413223
2008,10,0.282995
2008,11,0.32557
2008,12,0.347482
2009,1,0.375655
2009,2,0.350613
2009,3,0.406958
2009,4,0.48209
2009,5,0.557222
2009,6,1.424541
2009,7,1.430762
2009,8,1.816444
2009,9,2.413628
2009,10,2.63758
2009,11,3.023262
2009,12,3.51469
2010,1,3.390283
2010,2,3.010822
2010,3,3.234764
2010,4,3.060585
2010,5,2.712225
2010,6,2.786977
2010,7,3.0998
2010,8,3.412624
2010,9,4.194682
2010,10,4.230228
2010,11,3.881859
2010,12,3.839199
2011,1,3.682787
2011,2,3.185119
2011,3,3.057141
2011,4,3.199336
2011,5,3.021595
2011,6,3.035811
2011,7,2.695977
2011,8,2.039042
2011,9,2.320587
2011,10,2.175547
2011,11,2.02198
2011,12,1.817219
2012,1,2.004919
2012,2,2.269392
2012,3,2.218206
2012,4,2.294989
2012,5,2.149949
2012,6,2.713039
2012,7,2.926327
2012,8,3.071357
2012,9,3.207872
2012,10,3.540602
2012,11,4.487598
2012,12,5.340759
2013,1,5.579645
2013,2,6.364548
2013,3,6.38161
2013,4,6.364548
2013,5,7.422461
2013,6,7.5
2013,7,8.16
2013,8,6.32
2013,9,7.7
2013,10,7.82
2013,11,7.48
2013,12,6.44
2014,1,6.74
2014,2,6.58
2014,3,6.59
2014,4,6.75
2014,5,7.13
2014,6,6.56
2014,7,6.45
2014,8,6.85
2014,9,6.47
2014,10,7.29
2014,11,8.52
2014,12,9.63
2015,1,9.38
2015,2,9.05
2015,3,8.9
2015,4,8.88
2015,5,9.02
2015,6,8.8
2015,7,9.03
2015,8,8.05
2015,9,7.97
2015,10,8.61
2015,11,7.66
2015,12,7.39
2016,1,7.31
2016,2,7.32
2016,3,7.79
2016,4,6.9
2016,5,6.22
2016,6,5.72
2016,7,5.17
2016,8,5.16
2016,9,5.14
2016,10,5.44
2016,11,4.81
2016,12,5.01
2017,1,5.54
2017,2,5.46
2017,3,5.47
2017,4,6.06
2017,5,7.24
2017,6,8.05
2017,7,8.83
2017,8,9.76
2017,9,8.75
2017,10,10.38
2017,11,10.46
2017,12,15.69
2018,1,16.48
2018,2,16.51
2018,3,19.200001
2018,4,16.700001
2018,5,16.639999
2018,6,13.49
2018,7,17.27
2018,8,16.280001
2018,9,19.139999
2018,10,14.01
2018,11,17.049999
2018,12,16.1
2019,1,15.44
2019,2,14.17
2019,3,12.91
2019,4,14.31
2019,5,12.48
2019,6,12.89
2019,7,12.47
2019,8,11.3
2019,9,12.4
2019,10,11.62
2019,11,13.65
2019,12,14.46
2020,1,14.39